letter,pmf,cdf
SP,0.170782,0.170782
o,0.0925926,0.263374
t,0.0843621,0.347737
e,0.0740741,0.421811
n,0.0699588,0.49177
a,0.0596708,0.55144
s,0.0493827,0.600823
i,0.0473251,0.648148
u,0.0411523,0.6893
CR,0.037037,0.726337
c,0.0329218,0.759259
y,0.0308642,0.790123
h,0.0308642,0.820988
w,0.0308642,0.851852
g,0.0288066,0.880658
r,0.0246914,0.90535
l,0.0205761,0.925926
b,0.0185185,0.944444
m,0.0144033,0.958848
d,0.0144033,0.973251
k,0.0123457,0.985597
p,0.00617284,0.99177
f,0.00617284,0.997942
v,0.00205761,1
